asset_id,target_url,page_type,language,audience_problem,unique_value,identity_conflict,http_status,indexable,approved_for_outreach,notes
asset_home,https://gdhspack.com,homepage,en,"Visitors need an overview of available flexible packaging resources.","Routes visitors to product categories, applications, six guides, and three knowledge hubs without relying on blocked claims.",yes,200,yes,no,"HEAD returned 200; canonical=https://gdhspack.com; robots=index,follow,max-image-preview:large. Organization name, founding year, factory area, certification, equipment count, and capacity claims are blocked by the identity conflict gate."
asset_about,https://gdhspack.com/about,about,en,"Visitors need background on the organization behind the site.","Introduces the site brand and manufacturing focus.",yes,200,yes,no,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large. Legal name, founding year, factory area, certification, equipment count, and capacity claims are blocked by the identity conflict gate."
asset_material_hub,https://gdhspack.com/materials,knowledge_hub,en,"Buyers need to understand common flexible packaging material choices.","Explains BOPP, PET, CPP, PE, VMPET, aluminum foil, easy-peel film, and high-barrier structures.",no,200,yes,yes,"Final canonical URL returned 200; canonical matches target; robots=index,follow,max-image-preview:large. Homepage-linked /materials/ redirects 301 to this URL."
asset_options_hub,https://gdhspack.com/packaging-options,knowledge_hub,en,"Buyers need to compare pouch and roll-film features.","Compares zipper, spout, tear notch, clear window, matte finish, hang hole, bottom seal, and eye-mark options.",no,200,yes,yes,"Final canonical URL returned 200; canonical matches target; robots=index,follow,max-image-preview:large. Homepage-linked /packaging-options/ redirects 301 to this URL."
asset_solutions_hub,https://gdhspack.com/solutions,solutions_hub,en,"Buyers need application-oriented paths to packaging information.","Organizes solution guidance for food, coffee, sachets, daily-chemical refills, beauty, recyclable structures, sustainable packaging, and dry foods.",no,200,yes,yes,"Final canonical URL returned 200; canonical matches target; robots=index,follow,max-image-preview:large. Homepage-linked /solutions/ redirects 301 to this URL."
asset_guide_types,https://gdhspack.com/blog/types-of-flexible-packaging,guide,en,"Buyers need to distinguish common pouch and roll-film formats.","Explains 12 flexible packaging formats in one comparison-oriented guide.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,guide,en,"Buyers need to select a material structure for a food product.","Frames selection by product type, shelf-life target, barrier needs, sealing method, and production requirements.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
asset_guide_pouch_compare,https://gdhspack.com/blog/stand-up-pouch-vs-flat-bottom-pouch,guide,en,"Buyers need to choose between stand-up and flat-bottom pouches for snacks.","Compares pouch formats and material features for chocolate, nuts, and snacks.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
asset_guide_artwork,https://gdhspack.com/blog/how-to-prepare-artwork-for-custom-printed-pouches,guide,en,"Artwork teams need to prepare files and control proof approval for printed packaging.","Covers dielines, colors, white ink, windows, matte varnish, variants, cylinders, and proof control.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
asset_guide_spout,https://gdhspack.com/blog/spout-pouch-packaging-guide,guide,en,"Buyers need to specify a spout pouch for liquid products.","Covers size, material structure, spout position, sealing, filling, and sample testing.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
asset_guide_coffee,https://gdhspack.com/blog/coffee-bag-valve-and-material-guide,guide,en,"Coffee packers need to choose a valve, laminate, and pouch format.","Connects coffee form, packing interval, barrier target, valve position, zipper clearance, and filled-pack tests.",no,200,yes,yes,"HEAD returned 200; canonical matches target; robots=index,follow,max-image-preview:large."
