candidate_id,root_domain,source_url,source_class,topic,official_contact_url,asset_id,target_url,relevance,editorial_owner,indexable_path,no_link_sales,no_forced_exchange,public_contact_only,quality_decision,quality_reason,state,draft_id,user_approval,submitted_at,evidence_ref,live_url,rel_value,verified_at,follow_up_at,notes
cand_001,thomasnet.com,https://www.thomasnet.com/claim/list,directory_profile,flexible packaging supplier profile,https://www.thomasnet.com/claim/list,asset_options_hub,https://gdhspack.com/packaging-options,unknown,yes,yes,yes,yes,yes,hold,Thomasnet is North America focused and official evidence does not establish eligibility for this target,blocked,,pending,,https://business.thomasnet.com/get-listed-on-thomasnet,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_002,industrynet.com,https://www.industrynet.com/marketing/add/,directory_profile,industrial supplier basic listing,https://www.industrynet.com/marketing/add/,asset_material_hub,https://gdhspack.com/materials,unknown,yes,yes,yes,yes,unknown,hold,Free listing depends on MNI qualification and official evidence does not establish non-US eligibility or a no-login route,blocked,,pending,,https://www.industrynet.com/marketing/add/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_003,freshplaza.com,https://www.freshplaza.com/europe/content/about-us/,editorial_contribution,fresh produce flexible packaging material guidance,https://www.freshplaza.com/europe/content/about-us/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official current about page offers free press release publication by editorial email while another existing article demonstrates the outlet's public source website-link pattern,screened,,pending,,,,,,,Returned to screened reserve because no current fresh-produce-specific news event is documented; no submission performed
cand_004,perishablenews.com,https://perishablenews.com/submit-news/,editorial_contribution,perishable food packaging material guidance,https://perishablenews.com/submit-news/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official current form offers free editorial placement only for qualified food industry news and published packaging releases retain direct company source links,screened,,pending,,https://perishablenews.com/submit-news/|https://perishablenews.com/contact/|https://perishablenews.com/retailfoodservice/preferred-packaging-introduces-new-recyclable-and-compostable-fiber-trays-for-packaged-meals/,,,,,Strict replacement; submit only a timely food packaging announcement; no submission performed
cand_005,petfoodindustry.com,https://www.petfoodindustry.com/pet-food-market/article/15467890/press-releases-published-on-petfoodindustrycom-for-free,editorial_contribution,pet food flexible packaging material selection,https://www.wattglobalmedia.com/contact-us/,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,yes,yes,pass,Official route states pet food company releases are considered free of charge edited after acceptance and may include written URLs while other existing articles demonstrate external URL use; the 2026 ProAmpac example supplies only an internal supplier-profile link,screened,,pending,,https://www.petfoodindustry.com/pet-food-market/article/15467890/press-releases-published-on-petfoodindustrycom-for-free|https://www.petfoodindustry.com/pet-food-market/article/15462464/pfi-launches-new-website-twitter-handle|https://www.petfoodindustry.com/news-newsletters/pet-food-news/news/15823101/proampac-bringing-expanded-pet-food-packaging-portfolio-to-petfood-forum,,,,,Strict replacement; external URL capability rests on the submission guide and other existing articles not the internal link in the 2026 example; no submission performed
cand_006,hotfrog.com,https://www.hotfrog.com/,directory_profile,regional business profile,,asset_solutions_hub,https://gdhspack.com/solutions,yes,unknown,yes,yes,yes,unknown,hold,Official support requires account creation email confirmation login and ownership verification with no editorial acceptance evidence,blocked,,pending,,https://support.hotfrog.com/frequently-asked-questions/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_007,kompass.com,https://hk.kompass.com/registerNewCompany/identity/,directory_profile,global B2B company profile,https://hk.kompass.com/registerNewCompany/identity/,asset_guide_types,https://gdhspack.com/blog/types-of-flexible-packaging,yes,yes,yes,yes,yes,unknown,hold,Official route requires a personal account password professional data and reCAPTCHA before validation,blocked,,pending,,https://hk.kompass.com/registerNewCompany/identity/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_008,packaging-industry.info,https://packaging-industry.info/contact/,directory_profile,packaging supplier directory,https://packaging-industry.info/contact/,asset_options_hub,https://gdhspack.com/packaging-options,yes,yes,yes,yes,yes,unknown,hold,Free public application is real but approved authors must receive an account and log in to create an entry,blocked,,pending,,https://packaging-industry.info/contact/,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_009,packagingeurope.com,https://packagingeurope.com/submissions,editorial_contribution,flexible packaging material selection,https://packagingeurope.com/submissions,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,yes,unknown,yes,hold,Official page proves free editorial review but does not state an outbound commercial-link or exchange policy,blocked,,pending,,https://packagingeurope.com/submissions,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_010,foodmanufacturing.com,https://www.foodmanufacturing.com/page/fm-about-us,editorial_contribution,food packaging material selection,https://www.foodmanufacturing.com/page/fm-about-us,asset_guide_materials,https://gdhspack.com/blog/how-to-choose-food-packaging-materials,yes,yes,yes,unknown,unknown,yes,hold,Official page proves public editorial review but does not state fee or outbound-link and exchange policy,blocked,,pending,,https://www.foodmanufacturing.com/page/fm-about-us,,,,,Review correction applied 2026-07-17; no contact login or submission performed
cand_011,packagingdigest.com,https://eu-assets.contentstack.com/v3/assets/blta023acee29658dfc/blt0549c8fdec7bd166/659467bbbb3a23040a38cf26/2024-Packaging-Digest-guidelines-for-editorial-submissions.pdf,editorial_contribution,pouch format comparison,https://eu-assets.contentstack.com/v3/assets/blta023acee29658dfc/blt0549c8fdec7bd166/659467bbbb3a23040a38cf26/2024-Packaging-Digest-guidelines-for-editorial-submissions.pdf,asset_guide_pouch_compare,https://gdhspack.com/blog/stand-up-pouch-vs-flat-bottom-pouch,yes,yes,yes,yes,yes,yes,pass,Public official editorial PDF accepts contributed packaging articles under editor review distinguishes free and paid work requires nonpromotional supplier copy and permits a company website link in the author bio,submitted,draft_cand_011,approved,2026-07-17T15:37:25+08:00,smtp-accepted-private-ledger,,,,2026-07-24,Approved exact inquiry sent from sales@gdhspack.com; recipient SMTP server accepted the address and did not reject it
